歌单标题,id,昵称,介绍,歌曲数量,播放量,添加到播放列表次数,分享次数,评论数
我猜你一定有个爱而不得的人吧,450639585,四季里的懒睡猫,介绍：爱而不得 念而不见我对你仍有爱意，我对自己无能为力，我很喜欢你，可是好像只能到这里。如今我们仅有的默契，就是安静的躺在对方的好友列表里，不闻不问，各自生活。每个人的联系人里，都会有那么一个你永远不会打，也永远不会删的号码；每个人的心里，都会有那么一个你永远不会提，也永远不会忘的人。原来，这个世界上真的会有两个人互相喜欢却不能在一起。大概，每个人都会遇到一个不能在一起的人，放手舍不得，坚持又太累，爱而不得时最煎熬。海说想拥有星星可是星星只会陪伴在月亮身旁长久地为此闪耀所以海才会不分昼夜地映照着星星和月亮海说这不是爱是爱而不得我猜 你也一定有个爱而不得的人吧,194,15797107,149639,1715,2048
梦也缓缓·精选百首古风,65987267,公子无央,介绍：情深也好，缘浅也罢，待往事谢尽春秋，悲喜止于寥寥数曲中。谢谢关注我的小伙伴们，会努力写出更好的词～生命悠长，梦也缓缓，且放白鹿青崖间，山水合处，自会相逢。,233,7651592,166506,1505,1592
人这一生，最怕突然听懂了一首歌,2118682115,月亮藏不住的小情绪,介绍：“每个故事都会结束，只是有人欢喜有人苦。”,167,1567276,7117,124,26
「民谣」民谣是唱给自己的歌。,128206529,李俊达Alon,介绍：慢慢失去睡眠的资格，熬夜变成唯一的快乐,530,13475158,108527,3574,204
国人雷鬼 Ι 探索不拘一格的玩性洒脱,499915181,仲冬二二,介绍：雷⿁是早期⽛买加的流⾏⾳乐之⼀，由斯卡(Ska)和洛克斯代迪(Rock Steady)⾳乐演变⽽来，它不仅融合了美国节奏蓝调的抒情曲风，同时还加⼊了拉丁⾳乐的热情。另外，雷⿁⼗分强调vocal的部份，不论是独唱或合唱，通常它是运⽤吟唱的⽅式来表现，并且藉由吉他、打击乐器、电⼦琴或其他乐器带出主要的旋律和节奏。⽽在雷⿁乐当中，电贝斯占了相当重要的⽐例!雷⿁乐是属于四四拍的⾳乐，重⾳落在 第⼆和第四拍。从⾳乐中⼤⿎的部份，我们可以清楚的听出⼀个明显的节奏和固定的旋律线。拥有⾃成⼀派、懒洋洋的独特节奏。国内雷鬼在上世纪80年代便已出现，而后崔健、窦唯等创作人尝试了这种风格的演绎，如今有更多的年轻血液去探索这样一种独特的唱作风格，探索雷鬼，而不拘于雷鬼，即使雷鬼乐在国内并不是很成熟，但音乐多元化才是我们听众所要追求的，当然，如果你想听纯正的雷鬼乐，你可以先听听它的缔造者，Bob Marley的作品，相信我，你会发现一个新世界～歌曲排列随机整理by仲冬二二,89,1393625,13043,311,48
精选｜那些超好听循环歌曲,441609116,RJH国荣,介绍：从前车马很慢，书信很远，一生只够爱一个人。,209,14109038,86174,1498,110
愧疚让爱沦为杀手,280317115,黑夜至才書,介绍：_人生建议:你应该去喜欢那些能让你觉得自己很美好由衷感受到温暖的人而不是那些让你卑微到尘埃里觉得自己很没有用的人_亲爱的你:“不要轻易去依赖一个人它会成为你的习惯当分别来临你失去的不是某个人而是你精神的支柱无论何时何地都要学会独立行走它会让你走得更坦然些”,309,9302320,68758,906,724
彻底放下那个人，你用了多长时间？,389336627,Evelauren,介绍：彻底放下一个人需要多久？现在的你还会经常猜想Ta此刻在做什么吗？就算这种想念已经没那么坚定了，Ta的名字还是会在你脑海里不断浮现。 你是真的放下了，还是做了自欺欺人，偷偷流泪的笨蛋？得有多倔强，才敢念念不忘当你用了很长时间学着爱一个人然后再失去Ta，你的疗伤并没有一个固定的时间表。也有人试图告诉你不是这样的，他们质疑你为什么过去了那么久你还不能释怀，而你也给不出答案。大家总是说“给时间时间，让过去过去”，但没人知道要让一颗炽热跳动的心停止对一个人的爱到底需要多久。那个难忘的人，放不下的人，让你的人生丰盈，感性时刻，内心柔软的地方总是被触动。离去的人终将行踪不明，但是会有人记得曾经那一场动情。————————————1-35 流行36-52 说唱封面:林珍娜,52,1682192,7884,141,227
太阳照常升起，悲伤无法释怀,283996843,少年的杂货铺,介绍：总有一首歌会让你感同身受你走以后我不在寻找，把悲伤都沉在海底。可是当海底的水流动时我还会感到疼,50,32414,135,7,0
十年前的歌还在，陪你一起听歌的人呢,129593031,mayuko然,介绍：很久没有收拾旧物，趁着搬家，翻开了许久没打开的抽屉，撕开了尘封已久的整理箱，整理的过程中看到了年少时期的同学录、歌词本，还有那些已经布满灰尘的磁带和角落里不起眼的MP3。十年前，手机功能还极其有限，音乐类APP也还寥寥无几，那时班主任时常会突然袭击检查手机，那是一个互联网还未兴起的时代，突然发现，十年前我们的生活那么的纯粹，即使只有简单的漫画书、简单的音乐，却有我们无法释怀的青春和快乐。那时我们最大的兴趣和梦想大概就是拥有一个随时随地听磁带的随身听。在兜里没有几块钱的年纪，攒了许久的生活费，才能买到心仪已久的磁带，那种幸福和满足感绝不是现在等待下载的几秒钟时间可以填满的。只是后来随着时代的进步，随身听慢慢被淘汰，MP3出现在我们的生活中。 不知道有多少人还记得那些年那个陪你分一副耳机偷偷听歌的人，而那个人现在过得好吗？人生总有那么多美妙的回忆留在校园，也许十年后真的走在一起这才是真的美妙。回忆从前在校园里走过的路，听过的歌，原来一切过去已经很多年，但有些东西是时间改变不了的。,111,71694024,671346,8208,3099
「慎入」京剧入门洗脑有毒,395271954,黑石礁大客,介绍：我就想看看网易云里边有多少喜欢京剧的或者即将喜欢上京剧的❤️（想听更多经典唱段大家可以订阅我的播客）,67,6910602,126578,1419,622
静候长假丨我的心已飞往十一假期~,201586,原创君,介绍：这可不是简单的周一这是长假前的周一本周目标：静候长假~/封面来自Porter Magazine,25,171913,525,16,28
中国好声音2022巅峰之夜 歌曲合集,610336824,芳心收集人士,介绍：由浙江卫视和灿星制作联手打造的大型励志专业音乐评论类节目——安慕希《2022中国好声音》将于8月5日晚20:30在浙江卫视首播。作为国内首屈一指的音乐综艺IP，好声音一直是对年轻人最有号召力的王牌综艺，更是为华语乐坛培养了众多一线歌手，创造了无数耳熟能详的音乐作品。十一载峥嵘历程，好声音初心不忘，8月5日起每周五晚安慕希《2022中国好声音》如期而至，用音乐的力量陪伴大家一起度过这个夏天。,133,357175,2009,26,2
民谣驿站∶疲惫灵魂的栖息疗愈处,287937556,常迷道故,介绍：相信应该每个人都有过地铁上睡觉的经历，早早起床赶公交换地铁，已经成了一线城市普通打工人的日常，但是生活仍要继续，我们还需努力。不要有太大的压力，也别让自己太累了，来这送你一首民谣，希望能让你疲惫心灵得到释放，加油啊陌生人，这是属于我们的时代！,37,13543,669,0,3
“十七八岁的夏天我现在还能记得”,1289346856,-孤岛与海_,介绍：十七八岁的时候总觉得夏天很长，好像怎么都不会过去一样.夏天的傍晚，天光还未尽数褪去，照片里是几道模糊的身影，头发也被风吹的四散扬起，脸上漾起不具名的笑意，我已经记不清当时的情景了，但我想，那一刻肯定很尽兴。,26,5541,92,1,2
华语经典：把光阴的故事唱给你听,1489286516,贝克克y,介绍：华语经典金曲合集，有一些是爸爸哼过的歌，时到如今仍然觉得回味无穷，这也许就是音乐的魅力吧。能够留下传世的佳作也是音乐人最大的成功了。,38,137376,644,9,4
超好听的中文DJ咚鼓版丨保持开心,1897891075,丨不是你的girl,介绍：希望大家开心的时间多一点，再多一点愿许秋风知我意，散我心中意难平，祝相逢的人不会走散，走散的人不会再相逢...,15,6395,91,0,1
轻柔的中文爵士颇有情调,443893337,chelife,介绍：熟悉的一些中文歌曲，如果用爵士乐的方式演绎，会发生什么？答案是慵懒+性感，我很喜欢，希望你也是^_^^_^^_^,33,1320,17,0,0
校园广播站：昨日晴空的青春独白,1489286516,贝克克y,介绍：我趴在桌子上，听着枯燥的数学，时不时发发呆，勿匆的秋天，超爱的梧桐树叶渐渐落下，去年夏天没有答案的数学题并埋没在了无人知晓枯枝败叶下。后来渐渐发现，咬着笔帽发呆看窗外校园夕阳的时间，竟然是勿匆人间里最美好的时间。,68,41797,319,2,1
民谣集：20岁时变成了一个用故事下酒的人,101872876,陌森喵,介绍：后来宋冬野开了酒吧 抱着吉他安静地唱着斑马 陈粒也放弃寻找自己的祝星 马頔因为一首南山南火了起来 尧十三不再信奉北方女王 赵雷也停止了追寻南方姑娘的脚步 如果董小姐没牵过宋冬野的手 祝星一开始就很爱陈粒 马頔小时候不认识舒傲寒 尧十三错过了他的北方女王 赵雷也没去过南方那故事 又该怎么写呢 活在民谣里的爱情好看的让人落泪 可惜却给不了你天长地久里 一粥一茶 民谣没有声色犬马 没有灯红酒绿有的只是四海为家各安天下 民谣不是首歌 它存在的意义不是让你多喜欢它 多感同身受 而是教会你该如何过自己的生活 民谣很穷 一听就是一个故事,45,3614,23,2,0
KTV必点的情歌对唱歌单,443893337,chelife,介绍：感情的世界，有快乐有酸楚，个中滋味自己感受~~在过时的ktv里，你唱过其中的几首和谁一起唱？她（他）现在还在你身边吗？,65,28780,182,0,0
攻尽天下（节奏控的古风歌单）,456244098,wifi隔壁的蓝牙,介绍：宁缺毋滥。自己循环听，每一首都是在我自己的收藏里，每首歌都带有个人强烈的喜好。封面画师：HAloggz,144,8143233,196170,931,691
旅行小时光：心情与秋风一样凉爽,1489286516,贝克克y,介绍：秋天来了，不一起出去看场满山的黄叶与天边的日落这个秋天将毫无意义。旅行的时候，可别忘了点上几首爱听的歌，让这段旅程更有乐趣。,52,54061,233,4,0
上学那些年，我们一起追过的经典影视剧,252393521,音乐想象家,介绍：已走远，只留下了一串脚印。时间流逝，脚印也越来越浅。时间在持续，又将会来往着新的过客，唯有那条路是永恒，直到尽头，过客消失。你的人生路上走过几位过客？少年时，我在怀念童年的过客；青年时，我在怀念少年的过客。中年时我肯定在怀念青年的过客。人生短暂，我却总是在怀念从前。,79,268634,1900,8,3
忧郁烟嗓范｜空气里弥漫着心痛,1489286516,贝克克y,介绍：慵懒又有点沙哑和小颓废的噪音很适合在放空时听，这样的迷人小烟噪让人听到就无法自拔了，有种说不出的性感，与生俱来的废感很轻易就能把许多感情唱得很矛盾很忧伤．．．．世上有一种声音能够穿透灵魂，那就是“烟噪”，忧郁而粹，低沉而尖锐，一开口就已满载故事，一口唱不完，一首听不够。,54,7567,84,1,0
夜晚时分｜夕阳落在你身上 你也会快乐一场,450639585,四季里的懒睡猫,介绍：乐观面对 才能找到藏在生活里的解药无论身处哪里永远要支棱着嘴角上扬大步昂扬的朝着光 向着阳坚定有力量的走下去晚霞温柔 人间浪漫要陪在值得的人身边一年又一年,45,100433,1379,29,39
21世纪初的经典华语老歌,443893337,chelife,介绍：2001-2020，这20年间华语音乐出了不少佳作，这期的歌单，有着浓厚的个人主观性，哈哈，希望你我的兴趣类似……如果有漏了什么好歌，可以在评论区留言哈~~,305,6189,61,1,0
夜晚温柔｜当颗星星 有棱有角还会发光,450639585,四季里的懒睡猫,介绍：抬头看着星星在唱歌它的呼吸好似对我说它说你要慢慢长大不只为自己活着也为我们的同一片未来生活并不天天称心如意但要尽力把它过得鲜活有趣它应该是一段奇妙之旅而不是一次漫长的苦行,45,113327,1708,57,65
毕业季｜青春怀旧纪念手册 那年夏天,3223389037,内啡肽_Fentany丨,介绍：每首歌曲都代表一段往事，你会在这里听到熟悉的旋律想起那曾经的故事。每位都不止一首，挑选出比较有代表性的歌曲。每个声音这里的每一首歌听起来都能有共鸣。,275,12846,134,1,0
华语治愈 日暮黄昏下的人间浪漫,2137895081,糖果罐里装有好多颜色,介绍：日落尤其温柔，人间皆是浪漫。晚风长，秋水苍，山腰落日，雁背斜阳，一道残阳铺水中，半江瑟瑟半江红。落日，黄昏，晚霞，是太阳留给天空最后的温柔。夕阳西下暮云遮，落日余晖映晚霞，大漠孤烟，长河落日，夕阳无限， 已近黄昏。多少的浓情，才能渲染出如此的暮色？苍茫的天地间，唯有落日，如此痴情，浓墨重彩间，江山如画，无论身在何处，请记得抬头仰望，因为在仰望的视野里，一抹斜阳脉脉在天。净品黄昏日落， 闲看人间烟火。喜欢日落的静谧，当黄昏落在身上没有烟火没有杂尘，只有光和希望，把烦恼扔进夕阳里，和星星一起沉落！生活匆忙，别错过日落和晚霞，日落尤其温柔，人间皆是浪漫。,49,19507,122,3,2
治愈杂货铺•路过人间的愈疗旅途,1489286516,贝克克y,介绍：对于宇宙来说，地球亿年的存在，连一分钟都不到，那我们存在这颗星球上又能去做什么呢，很多都改变不了的，去做想做的事，去爱该爱的人，然后大家一起消失，其实也就这样一个过程，去放开爱吧。既然散场都是注定，那么及时行乐就好！,58,13249,96,1,0
夜色渐浓｜落日是一场零成本的治愈方式,450639585,四季里的懒睡猫,介绍：有所为 有所爱 有所期待生活不在别处 眼下即是全部在长大 在失去 在接受 在成长在理想的状态里生活 自由又自在奔赴简单快乐的生活里捂住耳朵 做你想做的生活不论好坏 每天都是限量版,45,56858,209,10,0
吉他伴随民谣｜孤独伴随流浪,416892299,WANGQINSHENGYUAN,介绍：你是否还有未做完的梦，说不完的故事，还有爱不到的人。有人说，如果一个人喜欢一首歌，是因为歌里有她的故事，有她想要铭记却又怕遗忘的记忆。音乐就是这样让人回味无穷，一切的一切，它好像都明白。,58,14495,30,0,0
夜间时分｜远的从来都不是距离 是爱,450639585,四季里的懒睡猫,介绍：世界上最远的距离不是树与树的距离而是同根生长的树枝却无法在风中相依远的从来都不是距离是爱我想让你知道你不是我权衡利弊后的选择而是我怦然心动后明知不可为而为之的坚定这是我对这份感情最大的诚意在这个爱意横行的时代我想和你慢慢来,45,151366,2001,55,52
城南烟火·小城故事氤氲民谣气息,1489286516,贝克克y,介绍：在平凡无奇的乡村里，藏着最意的生活。回家是一个永远温暖的词是烟火气是归属感是回忆是记忆人间烟火最抚人心风尘仆仆终有归途岁未将至百事言欢烟火藏诗意诗意藏乡间柴米油盐晨起暮落日子平淡且欢喜家乡是最深情的归途因思杜陵梦,50,397549,2245,26,8
「华语精选」那些年你单曲循环过的旋律,101872876,陌森喵,介绍：这些歌从学生时代就一直存在于我的播放器中，每一首歌都值得单曲循环，到如今依然舍不得删，自己的华语珍藏歌单，现在分享给你们，里面绝对有你们当初单曲循环过的歌。,30,7852,44,0,0
［戏腔］戏子多秋 可怜一处情深旧,317071772,一许桃花醉如烟,介绍：终于为那一身江南烟雨覆了天下，容华谢后，不过一场，山河永寂。千秋功名，一世葬你，玲珑社稷，可笑却无君王命。凤凰台上凤凰游，负约而去，一夜苦等，从此江南江北，万里哀哭。嗟叹红颜泪、英雄殁，人世苦多。山河永寂、怎堪欢颜。风华是一指流砂，苍老是一段年华。夜雨染成天水碧。有些人不需要姿态，也能成就一场惊鸿。你要记得，紫檀未灭，我亦未去。谁在岁月里长长叹息。汉霄苍茫，牵住繁华哀伤，弯眉间，命中注定，成为过往。红尘初妆，山河无疆。 最初的面庞，碾碎梦魇无常，命格无双。江南风骨，天水成碧，天教心愿与身违。山河拱手，为君一笑 。如是颠簸生世亦无悔。荏苒岁月覆盖的过往，白驹过隙，匆匆的铸成一抹哀伤。那被岁月覆盖的花开，一切白驹过隙成为空白。褪尽风华，我依然在彼岸守护你。那些繁华哀伤终成过往。请不要失望，平凡是为了最美的荡气回肠。各位喜欢戏腔的小伙伴，大家一起发现好听的歌曲吧，私信或评论都可以哦 。想要封面原图的看我动态或者私信都可以哦(´-ω-`),100,43899428,626863,4327,1121
终于找到红遍大街小巷的民谣歌曲了,2118682115,月亮藏不住的小情绪,介绍：民谣有三: 爱情 理想 远方 听者有三:孤独 平庸 落魄歌单内会有耳熟能详的歌 也会有一些冷门好听的民谣。不定时更新，有好听的歌曲可以在评论留言。封面：程璧,46,305279,1745,9,9
华语R&B｜世界不再贩卖焦虑，开始流行快乐,97515301,Bzstrive,介绍：希望我们每个人都可以尽可能的做自己，穿最喜欢的衣服，吃最喜欢的早餐，没有睡不着的苦恼，喜欢你能在每一件小事上感到快乐，希望你接受生命中的起起落落，希望你能对自己保持满意，最重要是身体健康平平安安,62,551983,4810,63,24
华语音乐最值得收藏live,443893337,chelife,介绍：这几年，大家也没机会听演唱会那就一起回味经典的live都是我喜欢的类型如果有机会听一场演唱会的话大家会捣钱买谁的票？希望在评论区交流我的答案是陈奕迅或者张学友……,101,18519,152,2,1
中文说唱｜节奏中感受潮流,589125151,AdeeL丨,介绍：网易云音乐越来越支持中文说唱了此歌单收录各种经典说唱^_^持续更新（欢迎投稿，我不怎么了解说唱，大家可以提供宝贵意见,64,90164,534,4,5
【队长】NUNA丨夜行丨哪里都是你,610336824,芳心收集人士,介绍：队长的歌声有着很强的代入感，在每个难过的晚上，戴上耳机，所听到的可能是队长的故事，也可能是自己的故事。,68,142025,1278,112,5
【民谣有三 ³】远方很美，不怕天黑,1957800055,倾天奏梦,介绍：远方有多远？请你，请你告诉我，到天涯海角，算不算远？问一问你的心，只要它答应，没有地方，是到不了的远方。,32,139186,672,43,4
说唱情歌｜最怕Rapper说情话,109390499,这条平凡的狗_QwQ,介绍：恋爱中的很多人的忠诚都是演的，所以他结婚了我永远不会辜负你，因为我要把你娶回家你说你想要浪漫，那我就拼了命给你制造,69,75279,525,5,1
华语民谣：赤诚书写，诗意与烟火,1489286516,贝克克y,介绍：生活给予了我们太多酸甜苦辣，当锋利的棱角逐渐被磨平，当眼神中的光芒不再那样澄澈，低下头脚下是一片泥泞。拾起头雨幕中有人起舞，于是心底那团火苗再度燃起，混沌的泪水模糊视线，但嘴角的微笑不会消失。－图源自网络，侵删,42,100458,441,1,0
此刻年少丨乃万NINEONE赵馨玥,610336824,芳心收集人士,介绍：乃万，NINEONE，赵馨玥——几个名字依次排开，有人可能会心一笑，也有人可能会对某个代号不甚了解，但是，没关系，我们只要知道，这个最初以“乃万”之名，走入大家视线的女孩，无论以什么身份出现，都正以一种可喜速度迅速成长着，她和她的音乐，越来越流露出一种“与众不同”的气质。,101,145881,730,4,1
旋律讯号｜寄给你一支乐队活力剂,554690582,也半眠,介绍：《想去海边》是歌单灵感大多为流行摇滚大概就是又土又上头吧哈哈哈哈哈哈哈（bushi）－—－—－—－—－—－—－—－—－封面来自wb摄影博主：尼脑子瓦特啦也半眠,53,4668471,53358,788,163
朴树、许巍、李健、郑钧、老狼、赵雷、陈粒,131278640,旧时里梦丶,介绍：愿你出走半生，归来仍是少年,191,37944140,511500,3655,881
欢乐续订↬轻快小调收揽节后好心情,1822429095,零度光影乄,介绍："人生没有四季，只有两季悠闲假期就是旺季，上学上班就是淡季"节前如虎归山，节后似鲸搁浅"醉生梦死"，不负假期假期过得真快乐呀，虽然我们只感受到了前六个字从吃喝玩乐的假期回归工作好音乐&好心态是满血复活的良药收拾好心情，努力生活期待下一个美妙假期天堂今天依旧是活力满满的打工人呢选曲: 华语/俏皮活力/清爽节奏，轻快的音乐、温暖的旋律，沁心的歌词，复工焦虑瞬间就不存在啦，让音乐浸透全身放松身心，最后祝大家开工愉快ꪔ̤̮,50,76438,771,9,0
「民谣」这一生是关于你的风景,1353232010,嘿-Tedua,介绍：本歌单为民谣歌单热闹只是一时的消耗品，而撑起你人生的是半生孤独，没必要渴望被理解和懂得，你只要无所畏惧，自律勇敢去生活。欢迎家人们积极投稿,51,35233,220,4,2
百首民谣: 愿治愈每一个孤独的你,1489286516,贝克克y,介绍：每一首民谣都是一段经历，都是一个故事虽说每个人的经历不会相同，但人的情绪不外乎“开心”与“难过”两种，所以那些别人故事中表达的一些内心的的感触也总会与我所经历的有那么多相似之处。于是我就感觉好像找到了一个知己，他总能将你心底故事说出来，似乎不用交流便治愈了你。,100,21322,122,1,0
华语经典顶流作品合集｜首首经典无损SQ,3223389037,内啡肽_Fentany丨,介绍：你会在这里听到熟悉的旋律想起那曾经的故事。华语乐坛神仙打架华语乐坛一人一首代表作，每位都不止一首，真的很难选。从300多名歌手挑选出比较有代表性的歌曲。每个声音这里的每一首歌听起来都能有共鸣。华语乐坛实力歌手，而非现在的网红歌曲，口水歌，严选有质量有内涵实力歌曲唱将。最遗憾的是网易云有的歌曲版权就无法添加至歌单。建议随机播放,412,264258,1990,22,3
80后｜回味经典老歌，再续当年情,1489286516,贝克克y,介绍：当你马不停蹄地坐在地铁上不知道想做什么的时候当你一个人逛商场想阻挡一个人尴尬的时候你可以一个人静静的听着这些歌满满是80后的青春记忆,166,242200,1946,18,3
嗯 不再期待了,1639734909,雾岛与歌,介绍：后来 我决定不再纠缠一些事情 那些曾经日思夜想的人 和始终没有答案的问题 突然就真的释怀了那些不能释怀的人和事就让他永远的留在评论区吧-感谢收听,243,3144764,19307,165,183
现在的感情都暧昧，我们都是爱情的胆小鬼,59525119,钟泽希,介绍：多难过啊，再也没有了从前的勇敢，从前的单纯。我与你，只剩下小心翼翼的暧昧。爱与分，只剩下无所适从的伤悲。我们，不过都是爱情里的胆小鬼，当分时分不了，当离时离不开，给自己的心留下深深的伤。,127,14689472,124811,1238,923
冷门古风歌曲心动不过瞬间,1365798932,珩萧雨溪,介绍：遇见回眸 心动不过瞬间 刹那即是永恒 生死只在呼吸间茔茔蔓草，岁岁不老；风雨如晦，死生为谁。好听的冷门古风歌曲歌单封面：银临,100,138281,1144,5,3
致90后，我们曾在KTV唱过的老歌,86621942,回忆哆啦没有A梦,介绍：每次去KTV时，总有一些经典的华语歌曲是我们必唱的。虽然它们可能己不再流行，但却永远流传。他们是记录了一代人美好的记忆，唱着这些歌曲，我们仿佛回到了那个逝去的八零九零年代。,92,172408,1412,12,1
华语经典丨不容错过的神级Live现场,113164676,马翊辰,介绍：相比录音室专辑的完美无暇现场的演唱往往更让听众感同身受不一样的编曲也会带来意外的惊喜个人向精选多首华语Live给大家带来不同的听觉体验封面：张学友,110,24783468,149439,1816,301
[RAP]中文励志说唱-为梦想努力奋斗,268589209,Cup呀,介绍：我曾经天真的以为，用真心对任何人，就可以得到真正的友情，真正的爱情。后来，认识了一些人，经历了一些事，才知道一切都是我以为。我以为你会一直陪我到最后，可惜不是你，到最后剩下的孤寂我一个人享受就好了，即使再痛又有什么关系。相遇总是猝不及防，而离别多是蓄谋已久，总有一些人会慢慢淡出你的生活，你要学会接受而不是怀念。留不住的心，就让它飞吧。注释：歌单封面源自网络，如有侵权，私信删除。,206,28435024,336936,3556,960
民谣世界｜寻找内心你我的梦境!,1489286516,贝克克y,介绍：一心一意的人和歌，可能一直游走在你的视野之外，可是一旦被发现了，便会让人觉得如获至宝。喜欢-首歌如同喜欢一个人一般，硬要说出理由反而没有初次心颤的美妙了。喜欢这首歌，连同它的配乐，它的歌词，它的韵律，它的和声统统喜欢，毫无顾忌地喜欢。,63,59533,375,4,0
戏腔古风｜用我三生烟火 换你一世迷离,2118682115,月亮藏不住的小情绪,介绍：风萧萧 雨萧萧瘦尽灯花又一宵长街长 烟花繁你挑灯回看华街景 人生河知己难寻觅总有人间一两风填我十万八千梦,35,229,14,0,1
单点听播 凌晨十二点的歌单,1592457604,陈先生的轨迹,介绍：我爱你，愿你遇到的每一次一见钟情，都不是见色起意，你的日久生情，也不是他的权衡利弊，愿你们可以白头偕老，爱的纯粹，干净我爱你，见惯了量产的温柔，所以对笨拙的真诚才会格外动心我爱你，不是因为你是别人的影子，而是你的一举一动真的很让我心动我爱你，在有生的瞬间能遇到你，竟花光了我所有运气。,71,22551130,160459,1835,932
神仙翻唱：超好听的翻唱,1407747620,小攀哟,介绍：喜欢歌单的可以点个关注哟此歌单推荐翻唱歌曲“喜欢一首歌会单曲循环 爱上一个人会不断原谅 可是歌听腻了就会切掉所以人爱累了也该收起一而再三的宽容 ” ​​​谢谢大家的支持欢迎各大佬在歌单留言，我会持续更新歌单... 歌单创建：2018.3.23歌单修改：2019.5.22歌单完善：2019.8.1歌单制作：小攀哟封面：97年韩国平面模特-金娜熙,421,439531904,3608205,27019,3519
放学路上必听｜温柔如风的说唱,1731886585,0000FF少抽烟,介绍：你听过如此温柔的说唱么?无论正遭遇着什么，相信旋律入耳后会有power，从落魄中站起来重振旗鼓，要继续保持热忱，要继续保持微笑，就像从未受伤过一样。欢迎收听，喜欢记得关注收藏哦～ （持续更新）,99,291309,1524,18,6
那些歌词里的欲言又止。,111003460,404_NotFound__,介绍：只靠一个人去维系的感情注定是不能长久的吧。后来啊，山盟海誓再也感动不了我，你不认真我便不当真。错的人就是错的人，从来不会因为你能忍，或者能熬多点时间，就变成对的人。总是要等到过了很久，总是要等到退无可退，才知道我们曾亲手舍弃的东西，在后来的日子里，再也遇不到了。,1291,7258302,43867,681,162
万事人海中，记住我眼里的风,1414938504,ki牙牙乐,介绍：我爱的世界大都浅薄，朝生暮死且不壮阔，唯独你矗立而活。,135,26507726,189393,2053,838
那些好听到爆炸的说唱啊,406730196,我没有熬夜,介绍：我们都在奔赴各自不同的人生中忙碌.,348,6585554,78506,738,480
KTV热歌，九零后麦霸点唱指南,1468568012,陈穆泽,介绍：还不知道要唱什么歌吗每次朋友在KTV唱起这些歌我也不知不觉的跟着一起唱了如果你不知道唱什么可以点这些歌,258,3214226,13618,201,51
戴上耳机♫这一刻世界属于你,1402401358,南子容,介绍：你知道思念一个人的滋味吗？思念一个人的滋味，就像喝了一大杯冰水，然后用很长很长的时间流成热泪。关于想你这件事，躲得过对酒当歌的夜，却躲不过四下无人的街。我嫉妒你身边每一个无关紧要的人，他们就那样轻而易举的，见到我朝思暮想的你。自从你走了，总有人问我为什么发呆。每句“你在干嘛”，都是“我想你”的近义词。你所在之处，是我不得不思念的天涯海角。害怕太主动反而被敷衍，只好把自己的想念和热情都收敛。想和你说话，想和你分享我身边发生的全部。包括夜里醒来时口渴的感觉，和你不在身边的难过。你如果想念一个人就会变成微风，轻轻掠过他的身边。就算他感觉不到，可这就是你全部的努力。人生就是这样子，每个人都变成各自想念的风。你以为你对他的想念，已经到了极致了，已经不可能想念得更多了，结果，在某一个意想不到的时刻，你又成功的，比原来想他的程度，再更多想念他一点点。想念有个别名，叫自捅千刀。守着爱怕人笑，还怕人看清。这世界怎么都是你的，而你在哪里。夜阑卧听风吹雨，铁马是你，冰河也是你。想念是会呼吸的痛，它活在我身上所有角落。习惯，像永不愈合的固执伤痕，一思念就撕裂灵魂。只因为在人群时多看了你一眼，从此开始了孤单思念。有多久没见你，以为你在哪里。原来就住在我心里，陪伴着我呼吸。每想你一次，天上飘落一粒沙，从此形成了撒哈拉。每想你一次，天上就掉下一滴水，于是形成了太平洋。我北上，北极熊的肚皮是你。我南下，南十字的星光是你。我东游，北海道的汤泉是你。我西游，莫高窟的砂岩是你。哪里都是你，无法停止思念你。我的世界里，阳光炙热，四季如歌，微风和你都很独特。我站在原地，等风也等你。把你写在书上，写在墙上，写在梦里。我和我的狗都很想你，我没有狗，也没有你。螃蟹在剥我的壳，笔记本在写我。漫天的我落在枫叶上雪花上，而你在想我。你出现在我诗的每一页。————————————————嘿，我真的好想你。当我想你的时候，你会不会正好也在想我？,2106,4040931,24763,711,110
浪漫的定义：手里拿着玫瑰去见你,497758168,遇见-Music,介绍：我朝着余晖，手拿玫瑰，奔向你，奔向未来你于我来说，和你一起就是我一生中最浪漫的事！歌单持续更新～喜欢的话就留下来吧！,98,449910,2836,42,13
“落俗不可避免 浪漫至死不渝”,1414938504,ki牙牙乐,介绍：你这个年纪，风花雪月都好看，爱恨情仇都浪漫.,252,18311968,137436,1767,772
